,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
3631,10348587,53261565,Private room,,MK16,0,,1,1.0,1.0,45.0,1.0,1.37129,103.766965,2016-06-11 05:19:51.284875
3632,10348927,53262432,Private room,,MK29,0,,3,1.0,1.0,62.0,1.0,1.386457,103.935362,2016-06-11 04:33:14.962564
3633,10349858,38883383,Entire home/apt,,MK22,4,4.0,4,1.0,1.0,98.0,4.0,1.351387,103.879165,2016-06-11 04:39:28.493892
3634,10350448,53270676,Entire home/apt,,MK03,4,5.0,4,1.0,2.0,53.0,2.0,1.305702,103.79878,2016-06-11 01:49:47.747477
3635,10351297,53273626,Private room,,MK11,0,,1,1.0,1.0,38.0,1.0,1.396823,103.747972,2016-06-11 02:29:50.141519
3636,10351527,12747655,Private room,,MK22,0,,1,1.0,1.0,45.0,1.0,1.373584,103.877366,2016-06-11 02:17:43.113643
3637,10351847,53277796,Entire home/apt,,MK25,0,,4,3.0,,191.0,5.0,1.297438,103.867251,2016-06-11 04:46:45.840837
3638,10353235,53285218,Private room,,TS27,5,4.0,1,1.0,1.0,83.0,1.0,1.305206,103.839749,2016-06-11 01:51:04.647644
3639,10356512,53013308,Private room,,MK17,3,4.0,2,1.0,1.0,31.0,1.0,1.336022,103.870041,2016-06-11 04:00:09.093343
3640,10356611,20485973,Entire home/apt,,MK17,1,,6,3.0,2.0,267.0,3.0,1.337245,103.869839,2016-06-11 02:48:31.887986
3641,10367479,53360239,Entire home/apt,,TS03,18,5.0,4,2.0,2.0,196.0,3.0,1.276129,103.846205,2016-06-11 05:23:42.666110
3642,10373304,53352398,Private room,,MK03,0,,2,1.0,1.0,92.0,1.0,1.287807,103.790397,2016-06-11 04:07:06.686108
3643,10374732,53402927,Entire home/apt,,TS20,34,5.0,6,2.0,1.0,176.0,1.0,1.298586,103.839452,2016-06-11 03:44:31.883283
3644,10375233,419854,Private room,,TS28,1,,1,1.0,1.0,49.0,5.0,1.312329,103.844072,2016-06-11 03:55:25.543704
3645,10376040,19710151,Private room,,MK01,13,4.5,2,1.0,2.0,75.0,3.0,1.270576,103.807942,2016-06-11 05:03:37.871829
3646,10377877,52359782,Private room,,MK27,3,4.5,1,1.0,1.0,20.0,6.0,1.31284,103.939831,2016-06-11 05:59:57.836080
3647,10378372,45003690,Entire home/apt,,TS18,10,4.5,6,2.0,3.0,195.0,2.0,1.313837,103.85389,2016-06-11 02:48:27.110686
3648,10378461,45003690,Entire home/apt,,TS18,23,4.5,6,2.0,3.0,195.0,2.0,1.31376,103.854345,2016-06-11 04:55:30.791472
3649,10378520,45003690,Entire home/apt,,TS18,6,3.5,16,7.0,4.0,380.0,2.0,1.313141,103.853032,2016-06-11 02:25:08.925511
3650,10378545,27973666,Entire home/apt,,TS30,20,4.5,2,1.0,1.0,93.0,1.0,1.281322,103.85324,2016-06-11 05:13:19.775288
3651,10381460,10248444,Private room,,TS20,16,4.5,5,1.0,1.0,92.0,1.0,1.296706,103.840399,2016-06-11 03:39:29.996294
3652,10391409,53499016,Private room,,MK25,13,5.0,2,1.0,1.0,152.0,1.0,1.297981,103.895501,2016-06-11 04:42:42.674119
3653,10392455,44697867,Private room,,MK22,18,5.0,2,1.0,1.0,33.0,2.0,1.366749,103.895875,2016-06-11 05:39:53.731695
3654,10394366,877462,Entire home/apt,,MK25,0,,2,1.0,1.0,77.0,3.0,1.31306,103.885942,2016-06-11 05:20:27.774636
3655,10394369,49246557,Private room,,MK31,7,4.5,2,1.0,1.0,72.0,1.0,1.357342,103.968445,2016-06-11 03:59:21.185364
3656,10396476,30813087,Entire home/apt,,TS21,1,,3,2.0,1.0,160.0,3.0,1.296253,103.831187,2016-06-11 04:02:28.310821
3657,10396689,30813087,Entire home/apt,,TS27,0,,6,2.0,1.0,153.0,1.0,1.30219,103.840193,2016-06-11 03:28:24.944473
3658,10397449,37961922,Private room,,MK26,14,5.0,2,1.0,1.0,54.0,1.0,1.306866,103.90285,2016-06-11 04:45:59.962446
3659,10398488,36177912,Entire home/apt,,MK17,8,5.0,2,0.0,1.0,76.0,7.0,1.324192,103.851659,2016-06-11 04:49:44.546571
3660,10399199,20723834,Private room,,MK01,0,,2,1.0,1.0,93.0,1.0,1.267884,103.819522,2016-06-11 04:46:12.476865
3661,10400088,20824941,Private room,,MK22,0,,1,1.0,1.0,92.0,1.0,1.362726,103.884179,2016-06-11 05:29:28.816902
3662,10414583,21004296,Private room,,MK05,0,,2,1.0,,37.0,1.0,1.311468,103.766851,2016-06-11 02:27:20.201515
3663,10415352,47160455,Private room,,TS21,2,,2,1.0,0.0,61.0,3.0,1.291456,103.83398,2016-06-11 06:00:42.505190
3664,10417070,22217878,Private room,,MK22,1,,2,1.0,1.0,49.0,1.0,1.35933,103.879343,2016-06-11 05:48:01.705513
3665,10417976,53656176,Private room,,MK03,1,,2,1.0,1.0,124.0,2.0,1.306524,103.788074,2016-06-11 04:21:31.187860
3666,10418927,7854754,Entire home/apt,,MK22,3,5.0,3,1.0,1.0,90.0,2.0,1.353276,103.881309,2016-06-11 04:37:40.748330
3667,10419702,53664832,Private room,,MK24,4,4.0,2,1.0,1.0,37.0,1.0,1.314821,103.889284,2016-06-11 04:10:46.893798
3668,10420248,53667809,Private room,,MK22,0,,1,1.0,1.0,38.0,1.0,1.361908,103.8736,2016-06-11 04:50:49.252454
3669,10423648,20485973,Entire home/apt,,MK17,2,,5,2.0,2.0,182.0,3.0,1.325207,103.850966,2016-06-11 04:06:48.900566
3670,10424591,13905185,Private room,,MK03,1,,2,1.0,1.0,61.0,1.0,1.292552,103.806329,2016-06-11 04:52:28.877556
3671,10428507,20485973,Entire home/apt,,MK25,2,,6,3.0,2.0,174.0,3.0,1.310031,103.885431,2016-06-11 05:58:28.563387
3672,10435152,16857489,Private room,,MK17,5,4.5,2,1.0,1.0,68.0,2.0,1.353144,103.818911,2016-06-11 05:16:16.688788
3673,10439585,53780778,Entire home/apt,,MK05,3,4.5,8,3.0,2.0,191.0,2.0,1.338325,103.736689,2016-06-11 04:54:29.252249
3674,10439763,41058174,Private room,,MK31,0,,2,1.0,1.0,76.0,1.0,1.358118,103.962936,2016-06-11 04:31:14.052221
3675,10440235,8948251,Private room,,MK24,0,,2,1.0,3.0,27.0,1.0,1.315169,103.883779,2016-06-11 02:55:16.925253
3676,10440369,20485973,Entire home/apt,,TS29,1,,5,3.0,2.0,212.0,3.0,1.32625,103.842888,2016-06-11 03:06:07.393706
3677,10440979,53789189,Private room,,MK05,4,5.0,2,1.0,1.0,38.0,3.0,1.341578,103.769075,2016-06-11 05:24:11.571983
3678,10442813,12685302,Entire home/apt,,TS23,0,,1,1.0,1.0,92.0,1.0,1.27529,103.83636,2016-06-11 02:35:09.481511
3679,10443717,48110833,Entire home/apt,,MK01,8,5.0,7,3.0,,204.0,2.0,1.283274,103.829769,2016-06-11 03:14:11.139044
3680,10446179,41537252,Private room,,MK05,8,5.0,1,1.0,1.0,47.0,2.0,1.29661,103.766778,2016-06-11 04:48:49.714284
3681,10446567,53817995,Private room,,MK13,5,5.0,2,1.0,1.0,34.0,1.0,1.433596,103.775014,2016-06-11 03:43:03.868393
3682,10448753,22665533,Shared room,,TS21,10,2.5,2,1.0,2.0,336.0,1.0,1.292247,103.834237,2016-06-11 04:46:40.463546
